"STYLE_CD","COUNT(*)"
BLCAS17200,6
BLJAA18710,3
BLJAW16508,3
BLJAW18630,3
BLPAM17524,3
BLPAM17528,3
BLPAM17529,3
BLPAM17530,3
BLPAM17531,3
BLPAW16502,3
BLSAA18620,3
BLSAA18730,3
BLUBM17210,6
BOAJW20111,3
BRBM41211,1
BRBM51511,3
BRBM54411,3
BRBM57411,3
BRBW44111,1
BRBW45311,1
BRCBW15944,3
BRCBW16341,3
BRCBW16842,6
BRCBW16941,3
BRCBW18113,3
BRCBW18411,15
BRCBW18413,6
BRCBW18611,3
BRCBW18942,3
BRCBW19111,6
BRCBW19121,3
BRCBW19511,3
BRCBW20752,3
BRCBW21584,3
BRCBW21585,3
BRCCA15431,6
BRCCA21311,6
BRCCM21411,18
BRCCS16431,6
BRCCS16432,3
BRCCS17431,6
BRDM53211,3
BRDM53311,3
BRDM54711,3
BRDM56311,3
BRDS41311,1
BRDS45511,1
BRDS56411,3
BRDS57221,1
BRDW41211,1
BRDW42111,1
BRDW42211,1
BRDW45111,1
BREA45021,1
BREA46011,1
BREM44411,2
BREM45211,1
BREM51421,1
BREM55311,1
BREM55521,4
BREM57111,3
BREM57311,4
BREM57411,4
BREM59111,4
BRES44231,1
BRES44311,1
BRES44321,1
BRES51311,1
BRES54021,3
BREW42011,1
BREW45011,1
BREW46011,1
BRFA44021,1
BRFA45111,1
BRFA49011,1
BRFBA16411,3
BRFBA16714,3
BRFBA19132,3
BRFBA19312,3
BRFBA19472,3
BRFBA20211,3
BRFBA21277,3
BRFBM16272,5
BRFBM16273,5
BRFBM16812,3
BRFBM17271,3
BRFBM17531,3
BRFBM17814,3
BRFBM18121,3
BRFBM18521,3
BRFBM18532,3
BRFBM18622,3
BRFBM19785,3
BRFBM19791,3
BRFBS16451,3
BRFBS16714,3
BRFBS16731,3
BRFBS16771,3
BRFBS17771,4
BRFBS18131,3
BRFBS18431,3
BRFBS19641,3
BRFBW15711,5
BRFBW15771,3
BRFBW16551,3
BRFBW16811,3
BRFBW16872,3
BRFBW17272,3
BRFBW18631,3
BRFBW18831,3
BRFBW19573,3
BRFBW20241,3
BRFBW21579,3
BRFBX18421,3
BRFBX19411,3
BRFBX19811,3
BRFBX20811,3
BRFCA19471,3
BRFCA19472,3
BRFCA19641,3
BRFCA21231,3
BRFCA21232,3
BRFCM16571,3
BRFCM17211,3
BRFCM17812,3
BRFCM18511,3
BRFCM18521,3
BRFCM18522,3
BRFCM18621,3
BRFCM19785,3
BRFCM20181,3
BRFCM20241,3
BRFCM20282,3
BRFCM20541,3
BRFCM21532,3
BRFCS16171,3
BRFCS16411,3
BRFCS16714,3
BRFCS17411,3
BRFCS18431,3
BRFCS18471,3
BRFCS19681,3
BRFCS19741,3
BRFCW15173,6
BRFCW16872,3
BRFCW19411,6
BRFCW20781,3
BRFCX18412,3
BRFCX18421,3
BRFFA18422,3
BRFFA18731,3
BRFFA18773,3
BRFFA18782,3
BRFFA19631,3
BRFFA19771,3
BRFFA19774,3
BRFFM17838,3
BRFFM17849,3
BRFFM17871,3
BRFFM18822,3
BRFFM18848,3
BRFFM18861,3
BRFFM18875,3
BRFFM18876,3
BRFFM18944,3
BRFFM19312,3
BRFFM19816,3
BRFFS18433,3
BRFFS18532,3
BRFFW15473,3
BRFFW16531,3
BRFFW16574,3
BRFFW16861,3
BRFFW16871,3
BRFFW17231,3
BRFFW17841,3
BRFFW17873,3
BRFFX22823,3
BRFFX22912,3
BRFGA15711,4
BRFGA15712,4
BRFGA15715,3
BRFGA15716,3
BRFGA20791,3
BRFGM16872,3
BRFGM17832,3
BRFGM17836,3
BRFGM17874,3
BRFGM18812,3
BRFGM18815,3
BRFGM18843,3
BRFGM18876,3
BRFGM19816,3
BRFGM19844,3
BRFGM20792,3
BRFGM20861,3
BRFGM21583,3
BRFGM21782,3
BRFGM21783,3
BRFGS16431,3
BRFGS16772,3
BRFGS20831,3
BRFGS21275,3
BRFGS22251,3
BRFGS22252,3
BRFGS22253,3
BRFGS22254,3
BRFGS22293,3
BRFGW15411,4
BRFGW15431,6
BRFGW16271,3
BRFGW16531,3
BRFGW19683,3
BRFGX19711,3
BRFGX22911,3
BRFM44111,2
BRFM44141,1
BRFS56011,3
BRFS57011,3
BRFS57411,4
BRFS57611,3
BRFW48111,1
BRFW48211,1
BRGA44211,1
BRGM44011,1
BRGM45321,1
BRGM46311,1
BRGM47161,1
BRGM47521,1
BRGM54321,3
BRGM54611,8
BRGM54711,3
BRGM54811,3
BRGM55211,1
BRGM57341,3
BRGM57351,3
BRGM59121,3
BRGM59411,3
BRGS54151,1
BRGW48121,1
BRHS54111,3
BRHW43611,1
BRHW43711,1
BRHW46111,1
BRHW46121,1
BRHW49121,2
BRHW49211,1
BRIA46021,1
BRIS45011,1
BRIS47111,1
BRIS55011,1
BRIS56021,1
BRIS58021,1
BRIS59011,1
BRIW44111,1
BRIW45121,1
BRIW46011,1
BRIW46111,1
BRIW46321,1
BRJBA21213,3
BRJBM17412,3
BRJBM17471,3
BRJBM17714,3
BRJBM18421,3
BRJBM19422,3
BRJBM20551,3
BRJBM21511,6
BRJBM22611,3
BRJBS16431,3
BRJBS19212,3
BRJBS22252,3
BRJBW17374,3
BRJBW17772,3
BRJBW18212,3
BRJBW18214,3
BRJBW18721,3
BRJBW19211,3
BRJBW19611,6
BRJBW19612,3
BRJBW19616,3
BRJBW20624,3
BRJBW21522,3
BRJCA16457,3
BRJCA16458,3
BRJCA16751,5
BRJCA17433,3
BRJCM17457,4
BRJCM17462,3
BRJCM17531,3
BRJCM17553,6
BRJCM18721,3
BRJCM18723,3
BRJCM19441,6
BRJCM19622,3
BRJCM19651,6
BRJCM19671,3
BRJCM20414,3
BRJCM20451,3
BRJCM21411,9
BRJCW15952,3
BRJCW16723,3
BRJCW20474,3
BRJCW21563,6
BRJM45121,1
BRJM45511,1
BRJM55211,3
BRJM55421,4
BRJM55721,4
BRJS44121,1
BRJS44131,1
BRJS44311,1
BRJS44321,1
BRJS44711,1
BRMA44111,1
BRMM41021,1
BRMM44221,3
BRMM44711,2
BRMM46111,1
BRMM52011,1
BRMM55011,4
BRMM55821,1
BRMM56411,4
BRMM59311,10
BRMS54021,1
BRMS54211,1
BRMS54221,1
BRNA45311,1
BRNA45621,1
BRNA47111,1
BRNA47311,1
BRNA47811,1
BRNA48111,1
BRNA48411,1
BRNM47511,2
BRNM51221,8
BRNM51321,1
BRNM51421,1
BRNM57511,1
BRNM57611,1
BRNM57711,1
BRNM57911,3
BRNM58211,3
BRNM58311,3
BRNS44811,1
BRNS45111,2
BRNS45311,1
BRNS47911,1
BRNS48911,1
BRNS54311,1
BRNS54911,3
BRNS57511,3
